온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
2,4,2,2025-01-06,3.0,2.8122199514033346,0.18778004859666542
2,4,2,2025-01-13,5.0,4.554707636948241,0.4452923630517587
2,4,2,2025-01-20,5.0,4.620511794719672,0.3794882052803281
2,4,2,2025-01-31,6.0,5.78891180214201,0.2110881978579897
2,4,2,2025-02-03,6.0,5.75977946151392,0.2402205384860796
2,5,1,2024-11-01,0.0,0.012463029426805784,0.012463029426805784
2,5,1,2024-11-04,0.0,0.0,0.0
2,5,1,2024-11-11,0.0,0.10340172876272014,0.10340172876272014
2,5,1,2024-11-18,1.0,1.3180622250455212,0.3180622250455212
2,5,1,2024-11-25,7.0,4.504463870568126,2.4955361294318736
2,5,1,2024-12-02,7.0,7.406262063458551,0.4062620634585512
2,5,1,2024-12-09,7.0,5.97554424766562,1.0244557523343802
2,5,1,2024-12-16,6.0,5.192408850035579,0.8075911499644208
2,5,1,2024-12-23,5.0,4.9458794940230035,0.05412050597699647
2,5,1,2024-12-30,4.0,3.9589595690722077,0.041040430927792304
2,5,1,2025-01-06,3.0,2.966884995043359,0.03311500495664088
2,5,1,2025-01-13,4.0,4.1738515912022445,0.17385159120224447
2,5,1,2025-01-20,4.0,4.56033408843723,0.5603340884372301
2,5,1,2025-01-31,7.0,5.372313405671818,1.627686594328182
2,5,1,2025-02-03,6.0,6.60974854654695,0.6097485465469497
2,5,2,2024-11-01,2.0,0.012463029426805784,1.9875369705731942
2,5,2,2024-11-04,2.0,1.8012342057339534,0.19876579426604657
2,5,2,2024-11-11,2.0,3.1853776297580696,1.1853776297580696
2,5,2,2024-11-18,4.0,3.179788816060982,0.8202111839390178
2,5,2,2024-11-25,6.0,6.0242034329973855,0.024203432997385477
2,5,2,2024-12-02,7.0,6.33029594110384,0.6697040588961602
2,5,2,2024-12-09,7.0,5.764372489602963,1.2356275103970367
2,5,2,2024-12-16,5.0,5.237229140407204,0.23722914040720422
2,5,2,2024-12-23,5.0,3.8546797816576515,1.1453202183423485
2,5,2,2024-12-30,3.0,3.8136044372120907,0.8136044372120907
2,5,2,2025-01-06,2.0,2.3869969837163616,0.3869969837163616
2,5,2,2025-01-13,5.0,4.174813516825812,0.8251864831741882
2,5,2,2025-01-20,5.0,4.886340653023321,0.11365934697667868
2,5,2,2025-01-31,7.0,5.529677058017482,1.4703229419825181
2,5,2,2025-02-03,5.0,6.219762912608049,1.219762912608049
3,1,1,2024-11-01,0.0,0.27663843926493353,0.27663843926493353
3,1,1,2024-11-04,0.0,0.007191305769061374,0.007191305769061374
3,1,1,2024-11-11,0.0,0.0,0.0
3,1,1,2024-11-18,0.0,0.0,0.0
3,1,1,2024-11-25,1.0,0.5870159784184344,0.41298402158156555
3,1,1,2024-12-02,6.0,6.159632373069037,0.15963237306903721
3,1,1,2024-12-09,8.0,7.105193599287367,0.8948064007126328
3,1,1,2024-12-16,6.0,6.434377910770649,0.4343779107706487
3,1,1,2024-12-23,4.0,4.638442263657393,0.6384422636573932
3,1,1,2024-12-30,2.0,3.3034150894110894,1.3034150894110894
3,1,1,2025-01-06,2.0,2.6463278062828417,0.6463278062828417
3,1,1,2025-01-13,5.0,4.505406551999186,0.4945934480008143
3,1,1,2025-01-20,5.0,4.001369669661128,0.9986303303388722
3,1,1,2025-01-31,8.0,5.22377336449338,2.77622663550662
3,1,1,2025-02-03,7.0,6.172260457547583,0.8277395424524174
3,1,2,2024-11-01,0.0,0.27663843926493353,0.27663843926493353
3,1,2,2024-11-04,0.0,0.03627915805872481,0.03627915805872481
